Brand,Product Name,Product Unit,Product Price,Pricing Unit,Secondary Price,Before Price,Valid Date,Image URL,Page URL
SELECTION,Half-Salted Butter,454 g,"$6.49
 ea.",,$1.43 /100g,,,https://product-images.metro.ca/images/h18/h89/10239116541982.jpg,https://www.metro.ca/en/online-grocery/search
,Banana,,"$0.37
 avg. ea.",(190 g avg.),$1.96 /kg$0.89 /lb.,,,https://product-images.metro.ca/images/hec/h10/11860660486174.jpg,https://www.metro.ca/en/online-grocery/search
SELECTION,Salted Butter,454 g,"$6.49
 ea.",,$1.43 /100g,,,https://product-images.metro.ca/images/h0e/h74/10239120965662.jpg,https://www.metro.ca/en/online-grocery/search
LACTANTIA,"2% Milk, PurFiltre",2 L,"$5.29
 ea.",,$0.26 /100ml,,,,https://www.metro.ca/en/online-grocery/search
CHIPS AHOY!,"Mini Chocolate Chip Cookie Packs, Snak Paks",180 g,"$3.99
 ea.",,$2.22 /100g,,,,https://www.metro.ca/en/online-grocery/search
SELECTION,Mozzarella Cheese,400 g,"$3.97
 ea.",,$0.99 /100g,"Regular price
$6.49  ea.","Valid until Jan 10, 2024",https://product-images.metro.ca/images/h00/h13/9520125739038.jpg,https://www.metro.ca/en/online-grocery/search
BÙ,Italian White Wine,750 mL,"$17.29
 ea.",,$2.31 /100ml,,,https://product-images.metro.ca/images/hc0/hbc/10529617969182.jpg,https://www.metro.ca/en/online-grocery/search
KEEP CALM,"Canadian White Wine, & Laugh",750 mL,"$12.29
 ea.",,$1.64 /100ml,,,,https://www.metro.ca/en/online-grocery/search
SVELTE,Partially Dealcoholized Canadian White Wine,750 mL,"$12.29
 ea.",,$1.64 /100ml,"Regular price
$13.69  ea.","Valid until Feb 7, 2024",https://product-images.metro.ca/images/he7/h19/10529560985630.jpg,https://www.metro.ca/en/online-grocery/search
REVOLUTION,American White Wine,750 mL,"$11.99
 ea.",,$1.60 /100ml,,,https://product-images.metro.ca/images/h75/hda/10399744917534.jpg,https://www.metro.ca/en/online-grocery/search
,Skinless Chicken Breast Without Back,3 to 4 units per tray,"$15.86
 avg. ea.",(800 g avg.),$19.82 /kg$8.99 /lb.,,,https://product-images.metro.ca/images/h32/h7d/11930970456094.jpg,https://www.metro.ca/en/online-grocery/search
KRAFT,Smooth Peanut Butter,1 kg,"$7.99
 ea.",,$0.80 /100g,"Regular price
$8.99  ea.","Valid until Feb 7, 2024",https://product-images.metro.ca/images/h90/h43/10778619674654.jpg,https://www.metro.ca/en/online-grocery/search
SELECTION,Extra Old White Cheddar Cheese,400 g,"$3.97
 ea.",,$0.99 /100g,"Regular price
$6.49  ea.","Valid until Jan 10, 2024",https://product-images.metro.ca/images/h10/hf3/9518538784798.jpg,https://www.metro.ca/en/online-grocery/search
,English Cucumber,Sold individually,"2 / 
$5.00",,$2.50 /un.,"Regular price
$2.99  ea.","Valid until Jan 10, 2024",https://product-images.metro.ca/images/ha1/hf5/10916746493982.jpg,https://www.metro.ca/en/online-grocery/search
VALLE DELLA ROSA,Italian Red Wine,750 mL,"$13.99
 ea.",,$1.87 /100ml,"Regular price
$15.49  ea.","Valid until Feb 7, 2024",https://product-images.metro.ca/images/h95/hd8/9742256275486.jpg,https://www.metro.ca/en/online-grocery/search
CASHMERE,2-Ply Bathroom Tissue,8 un,"$9.49
 ea.",,$1.19 /un.,,,https://product-images.metro.ca/images/hae/h37/11493086265374.jpg,https://www.metro.ca/en/online-grocery/search
,Red Cluster Tomatoes,Approximately 5 tomatoes per cluster,"$5.96
 avg. ea.",(775 g avg.),$7.69 /kg$3.49 /lb.,"Regular price
$8.80  avg. kg","Valid until Jan 10, 2024",https://product-images.metro.ca/images/h81/h2a/9276940845086.jpg,https://www.metro.ca/en/online-grocery/search
,"Lean Ground Beef, Value Pack",A tray contains on average 1200 g,"$10.03
 / 1200 g",,$8.36 /kg$3.79 /lb.,"Regular price
$16.51  / kg","Valid until Jan 10, 2024",https://product-images.metro.ca/images/hc2/h5b/12048169336862.jpg,https://www.metro.ca/en/online-grocery/search
CLASSICO,"Tomato And Basil Pasta Sauce, Di Napoli",650 mL,"$5.49
 ea.",,$0.84 /100ml,,,,https://www.metro.ca/en/online-grocery/search
SCOTTIES,2-Ply Facial Tissues,6x126 sheets,"$9.99
 ea.",,$1.32 /100sheet,,,https://product-images.metro.ca/images/h4c/h63/11655039025182.jpg,https://www.metro.ca/en/online-grocery/search
IRRESISTIBLES,Roasted Whole Cashew Nuts,250 g,"$8.99
 ea.",,$3.60 /100g,"Regular price
$10.99  ea.","Valid until Jan 10, 2024",https://product-images.metro.ca/images/h04/h37/9064779218974.jpg,https://www.metro.ca/en/online-grocery/search
IRRESISTIBLES,Salted Roasted Pistachios,200 g,"$5.99
 ea.",,$3.00 /100g,"Regular price
$6.99  ea.","Valid until Jan 10, 2024",https://product-images.metro.ca/images/h61/h9f/9051579711518.jpg,https://www.metro.ca/en/online-grocery/search
,Bag Of Clementines,2 lb,"$5.99
 ea.",,$0.66 /100g,,,https://product-images.metro.ca/images/hcd/h1d/9335900307486.jpg,https://www.metro.ca/en/online-grocery/search
,Raspberries,170 g,"2 / 
$7.00",,$2.06 /100g,"Regular price
$4.99  ea.","Valid until Jan 10, 2024",https://product-images.metro.ca/images/h6a/ha6/10406084902942.jpg,https://www.metro.ca/en/online-grocery/search
LA CAGE,Frozen Buffalo Chicken Wings,550 g,"$8.99
 ea.",,$1.63 /100g,"Regular price
$15.99  ea.","Valid until Jan 10, 2024",https://product-images.metro.ca/images/h78/heb/11492952047646.jpg,https://www.metro.ca/en/online-grocery/search
LAY'S,"Classic Flavour Chips, Value Pack",235 g,"2 / 
$7.50",,$1.60 /100g,"Regular price
$4.49  ea.","Valid until Jan 10, 2024",,https://www.metro.ca/en/online-grocery/search
METROGO!,Whole Pineapple,550 g,"$4.99
 ea.",,$0.91 /100g,"Regular price
$6.99  ea.","Valid until Jan 10, 2024",https://product-images.metro.ca/images/h9f/h3e/10322830262302.jpg,https://www.metro.ca/en/online-grocery/search
GENERAL MILLS,"Honey Nut Oats Cereal, Cheerios",430 g,"2 / 
$8.00",,or $5.99 ea. $0.93 /100g,,"Valid until Feb 7, 2024",,https://www.metro.ca/en/online-grocery/search
MCCAIN,"Frozen Straight Cut Fries, Superfries",650 g,"$5.49
 ea.",,$0.84 /100g,"Regular price
$5.99  ea.","Valid until Feb 14, 2024",,https://www.metro.ca/en/online-grocery/search
MIKES,Frozen International Flavoured Pizza,871 g,"$11.99
 ea.",,$1.38 /100g,,,https://product-images.metro.ca/images/hef/h2f/10715591442462.jpg,https://www.metro.ca/en/online-grocery/search
MIKES,Pepperoni And Bacon Stuffed Crust Pizza,840 g,"$11.99
 ea.",,$1.43 /100g,,,https://product-images.metro.ca/images/h4b/hae/10715599274014.jpg,https://www.metro.ca/en/online-grocery/search
IRRESISTIBLES,Frozen Three-Meat Pie,635 g,"$9.00
 ea.",,$1.42 /100g,"Regular price
$9.99  ea.","Valid until Jan 17, 2024",https://product-images.metro.ca/images/h8d/h8d/10433024458782.jpg,https://www.metro.ca/en/online-grocery/search-page-2
SELECTION,Elbow Macaroni Pasta,900 g,"$1.47
 ea.",,$0.16 /100g,"Regular price
$2.99  ea.","Valid until Jan 10, 2024",https://product-images.metro.ca/images/h0c/ha0/10402331590686.jpg,https://www.metro.ca/en/online-grocery/search-page-2
COCA-COLA,Soft Drink,6x710 mL,"$6.99
 ea.",,$0.16 /100ml,,,https://product-images.metro.ca/images/hb7/h07/10495618809886.jpg,https://www.metro.ca/en/online-grocery/search-page-2
PEPSI,Soft Drink,6x710 mL,"$6.49
 ea.",,$0.15 /100ml,,,https://product-images.metro.ca/images/hba/h75/10045000450078.jpg,https://www.metro.ca/en/online-grocery/search-page-2
CHRISTIE,"Crackers, Toppables",386 g,"$3.49
 ea.",,$0.90 /100g,"Regular price
$4.19  ea.","Valid until Jan 24, 2024",,https://www.metro.ca/en/online-grocery/search-page-2
HABITANT,French-Canadian Pea Soup,796 mL,"$3.99
 ea.",,$0.50 /100ml,,,https://product-images.metro.ca/images/hc4/h87/11849370796062.jpg,https://www.metro.ca/en/online-grocery/search-page-2
KELLOGG'S,"Original Waffles, Eggo",560 g,"$7.49
 ea.",,$1.34 /100g,,,,https://www.metro.ca/en/online-grocery/search-page-2
,"Fresh Grade A Whole Chickens, Value Pack","2 chickens per tray, approx. 2 kg each","$23.07
 avg. ea.","(3,000 g avg.)",$7.69 /kg$3.49 /lb.,,,https://product-images.metro.ca/images/hcd/hac/8886643818526.jpg,https://www.metro.ca/en/online-grocery/search-page-2
JAMIESON,"Vitamin D 1,000 IU, Essentials",240 un,"$13.99
 ea.",,$0.06 /un.,,,,https://www.metro.ca/en/online-grocery/search-page-2
CORONA,"Non-Alcoholic Mexican Beer, Sunbrew",6x330 mL,"3 / 
$35.97",,or $14.49 ea. $0.61 /100ml,"Regular price
$15.49  ea.","Valid until Feb 7, 2024",,https://www.metro.ca/en/online-grocery/search-page-2
IRRESISTIBLES,Halves And Pieces Of Walnuts,750 g,"$14.99
 ea.",,$2.00 /100g,"Regular price
$25.99  ea.","Valid until Jan 17, 2024",https://product-images.metro.ca/images/h4c/h81/9254624002078.jpg,https://www.metro.ca/en/online-grocery/search-page-2
BOURSIN,Garlic And Fine Herbs Fresh Cheese,150 g,"$8.00
 ea.",,$5.33 /100g,,,https://product-images.metro.ca/images/h0d/ha1/11849329344542.jpg,https://www.metro.ca/en/online-grocery/search-page-2
ACTIVIA,2.9% Vanilla Flavoured Probiotic Yogurt,650 g,"2 / 
$7.50",,or $5.49 ea. $0.58 /100g,,"Valid until Feb 14, 2024",https://product-images.metro.ca/images/hf1/h63/11761469227038.jpg,https://www.metro.ca/en/online-grocery/search-page-2
OIKOS,2% Key Lime Greek Yogurts,4x100 g,"3 / 
$9.99",,or $4.99 ea. $0.83 /100g,,"Valid until Feb 14, 2024",https://product-images.metro.ca/images/h45/hb5/11570807177246.jpg,https://www.metro.ca/en/online-grocery/search-page-2
PURINA ONE,"Turkey Adult Dry Cat Food, Indoor Advantage",1.8 kg,"$12.99
 ea.",,$0.72 /100g,"Regular price
$14.49  ea.","Valid until Jan 24, 2024",,https://www.metro.ca/en/online-grocery/search-page-2
IRRESISTIBLES,Frozen Chicken Pie,600 g,"$9.00
 ea.",,$1.50 /100g,"Regular price
$9.99  ea.","Valid until Jan 17, 2024",https://product-images.metro.ca/images/h52/h0c/9848551538718.jpg,https://www.metro.ca/en/online-grocery/search-page-2
LECLERC,"Dark Chocolate Chunk Muffin Bars, Muffin Max",223 g,"$1.77
 ea.",,$0.79 /100g,"Regular price
$3.79  ea.","Valid until Jan 10, 2024",,https://www.metro.ca/en/online-grocery/search-page-2
IRRESISTIBLES,Frozen Rockefeller Oysters,108 g,"$17.99
 ea.",,$16.66 /100g,,,https://product-images.metro.ca/images/hc6/h7d/11122252578846.jpg,https://www.metro.ca/en/online-grocery/search-page-2
ALEXIS DE PORTNEUF,Sir Laurier D'Arthabaska™ Soft Surface Ripened Cheese,170 g,"$8.00
 ea.",,$4.71 /100g,"Regular price
$10.49  ea.","Valid until Jan 10, 2024",https://product-images.metro.ca/images/h15/he5/10433078001694.jpg,https://www.metro.ca/en/online-grocery/search-page-2
,European Cut Chuck Roast,1 roast,"$22.02
 avg. ea.","(1,000 g avg.)",$22.02 /kg$9.99 /lb.,"Regular price
$24.23  avg. ea.","Valid until Jan 10, 2024",https://product-images.metro.ca/images/hb6/hf1/8886493904926.jpg,https://www.metro.ca/en/online-grocery/search-page-2
AGROPUR SIGNATURE,"Double Crème Brie Cheese, L'Extra",170 g,"$8.00
 ea.",,$4.71 /100g,"Regular price
$8.79  ea.","Valid until Jan 10, 2024",,https://www.metro.ca/en/online-grocery/search-page-2
,"Boneless Trimmed Chicken Breasts, Value Pack",5 breasts per tray,"$17.61
 avg. ea.","(1,000 g avg.)",$17.61 /kg$7.99 /lb.,"Regular price
$18.72  avg. kg","Valid until Jan 10, 2024",https://product-images.metro.ca/images/he7/hb5/9233873109022.jpg,https://www.metro.ca/en/online-grocery/search-page-2
GREEN,Seedless Green Grapes,A bag contains on average 1000 g,"$0.66
 / 100 g",,$6.59 /kg$2.99 /lb.,"Regular price
$11.00  / kg","Valid until Jan 10, 2024",https://product-images.metro.ca/images/hb3/h70/8874218094622.jpg,https://www.metro.ca/en/online-grocery/search-page-2
POM,Ultra-Soft™ Sliced White Bread,675 g,"3 / 
$9.47",,or $4.49 ea. $0.47 /100g,,"Valid until Jan 10, 2024",https://product-images.metro.ca/images/h84/hb8/11412543504414.jpg,https://www.metro.ca/en/online-grocery/search-page-2
VACHON,Ah Caramel!™ Cakes,12 un - 336 g,"3 / 
$10.97",,or $4.99 ea. $0.30 /un.,"Regular price
$5.29  ea.","Valid until Jan 10, 2024",https://product-images.metro.ca/images/h8c/hc3/10893959659550.jpg,https://www.metro.ca/en/online-grocery/search-page-2
RED,Red Seedless Grapes,A bag contains on average 1000 g,"$0.66
 / 100 g",,$6.59 /kg$2.99 /lb.,"Regular price
$11.00  / kg","Valid until Jan 10, 2024",https://product-images.metro.ca/images/ha7/h94/8872792391710.jpg,https://www.metro.ca/en/online-grocery/search-page-2
,Blackberries,170 g,"$4.99
 ea.",,$3.33 /100g,,,https://product-images.metro.ca/images/hd2/he3/11521232404510.jpg,https://www.metro.ca/en/online-grocery/search-page-2
SIMPLY,Orange Juice With Pulp,1.54 L,"$6.59
 ea.",,$0.43 /100ml,,,https://product-images.metro.ca/images/hd8/h9b/11541104361502.jpg,https://www.metro.ca/en/online-grocery/search-page-2
SIMPLY,Orange Juice Without Pulp,1.54 L,"$6.59
 ea.",,$0.43 /100ml,,,https://product-images.metro.ca/images/h88/hd4/11541102264350.jpg,https://www.metro.ca/en/online-grocery/search-page-2
GENERAL MILLS,"Honey Nut Oats Cereal Value Pack, Cheerios",725 g,"$8.99
 ea.",,$1.24 /100g,,,,https://www.metro.ca/en/online-grocery/search-page-2
SAVOURA,Hothouse Red Tomato,,"$2.20
 avg. ea.",(200 g avg.),$11.00 /kg$4.99 /lb.,,,https://product-images.metro.ca/images/h67/h27/9906393874462.jpg,https://www.metro.ca/en/online-grocery/search-page-2
,Avocado,Sold individually,"2 / 
$5.00",,$2.50 /un.,"Regular price
$2.99  ea.","Valid until Jan 10, 2024",https://product-images.metro.ca/images/he7/h31/8881642930206.jpg,https://www.metro.ca/en/online-grocery/search-page-2
,Romaine Lettuce,Sold individually,"$2.99
 ea.",,$2.99 /un.,,,https://product-images.metro.ca/images/hc8/h44/8836973625374.jpg,https://www.metro.ca/en/online-grocery/search-page-2
POM,Plain English Muffins,"6 English muffins, 340 g","3 / 
$9.47",,or $4.49 ea. $0.53 /un.,,"Valid until Jan 10, 2024",https://product-images.metro.ca/images/h35/hcb/11829801484318.jpg,https://www.metro.ca/en/online-grocery/search-page-3
POM,Sliced Sesame Bagels,"6 bagels, 450 g","3 / 
$10.97",,or $4.99 ea. $0.61 /un.,"Regular price
$5.09  ea.","Valid until Jan 10, 2024",https://product-images.metro.ca/images/h9c/h77/11642926694430.jpg,https://www.metro.ca/en/online-grocery/search-page-3
SAPUTO,Mozzarellissima™ Pizza Mozzarella Cheese,690 g,"$13.99
 ea.",,$2.03 /100g,,,https://product-images.metro.ca/images/hd2/h7b/10486515007518.jpg,https://www.metro.ca/en/online-grocery/search-page-3
SAPUTO,Mozzarellissima™ Pizza Mozzarella Cheese,700 g,"$13.99
 ea.",,$2.00 /100g,,,https://product-images.metro.ca/images/h37/h91/10486513041438.jpg,https://www.metro.ca/en/online-grocery/search-page-3
DANONE,"1.5% Strawberry-Banana Flavoured Drinkable Yogurts,...",6x93 mL,"$4.49
 ea.",,$0.80 /100ml,,,,https://www.metro.ca/en/online-grocery/search-page-3
SPONGE TOWELS,"2-Ply Paper Towels, Ultra",6 un,"$18.99
 ea.",,$3.17 /un.,,,,https://www.metro.ca/en/online-grocery/search-page-3
CORONA EXTRA,Mexican Lager Beer,24x355 mL - cans,"$42.99
 ea.",,$0.50 /100ml,,,https://product-images.metro.ca/images/h50/he4/10143952076830.jpg,https://www.metro.ca/en/online-grocery/search-page-3
CASHMERE,2-Ply Bathroom Tissue,24x242 un,"$16.49
 ea.",,$0.28 /100sheet,,,https://product-images.metro.ca/images/hda/h9d/10393744375838.jpg,https://www.metro.ca/en/online-grocery/search-page-3
,Red Leaf Lettuce,Sold individually,"$2.99
 ea.",,$2.99 /un.,,,https://product-images.metro.ca/images/h3c/h0e/9335887593502.jpg,https://www.metro.ca/en/online-grocery/search-page-3
JAMIESON,"Omega-3, Select",200 un,"$26.99
 ea.",,$0.13 /un.,,,,https://www.metro.ca/en/online-grocery/search-page-3
,Green Leaf Lettuce,Sold individually,"$2.99
 ea.",,$2.99 /un.,,,https://product-images.metro.ca/images/h5e/hd7/8837223907358.jpg,https://www.metro.ca/en/online-grocery/search-page-3
HEINEKEN,Dutch Lager Beer,24x330 mL - cans,"$41.99
 ea.",,$0.53 /100ml,,,https://product-images.metro.ca/images/ha3/hb2/11513929203742.jpg,https://www.metro.ca/en/online-grocery/search-page-3
,Jumbo Cantaloupe,Sold individually,"$3.99
 ea.",,$3.99 /un.,"Regular price
$4.99  ea.","Valid until Jan 10, 2024",https://product-images.metro.ca/images/hbe/h51/10333749182494.jpg,https://www.metro.ca/en/online-grocery/search-page-3
QUAKER,Oats,1 kg,"$3.99
 ea.",,$0.40 /100g,"Regular price
$4.99  ea.","Valid until Feb 7, 2024",https://product-images.metro.ca/images/h36/h86/12279411081246.jpg,https://www.metro.ca/en/online-grocery/search-page-3
NESTLÉ,"Hot Chocolate Mix Variety Pack, Carnation",7x25 g,"$4.49
 ea.",,$2.57 /100g,"Regular price
$4.99  ea.","Valid until Feb 7, 2024",,https://www.metro.ca/en/online-grocery/search-page-3
STELLA ARTOIS,Belgian Blonde Lager Beer,24x355 mL - cans,"$42.99
 ea.",,$0.50 /100ml,,,https://product-images.metro.ca/images/h10/hf9/9742643822622.jpg,https://www.metro.ca/en/online-grocery/search-page-3
HELLMANN'S,Mayonnaise,750 mL,"$6.99
 ea.",,$0.93 /100ml,"Regular price
$8.49  ea.","Valid until Jan 24, 2024",https://product-images.metro.ca/images/hdb/h2b/11660192874526.jpg,https://www.metro.ca/en/online-grocery/search-page-3
HELLMANN'S,Mayonnaise,890 mL,"$6.99
 ea.",,$0.79 /100ml,"Regular price
$8.49  ea.","Valid until Jan 24, 2024",https://product-images.metro.ca/images/h99/h37/11344186834974.jpg,https://www.metro.ca/en/online-grocery/search-page-3
,Hothouse Red Pepper,,"$3.96
 avg. ea.",(300 g avg.),$13.21 /kg$5.99 /lb.,,,https://product-images.metro.ca/images/h09/hff/8832752844830.jpg,https://www.metro.ca/en/online-grocery/search-page-3
ACTIVIA,2.9% Vanilla Flavoured Probiotic Yogurt,8x100 g,"$4.99
 ea.",,$0.62 /100g,"Regular price
$6.49  ea.","Valid until Feb 14, 2024",https://product-images.metro.ca/images/h5c/h3a/11432705458206.jpg,https://www.metro.ca/en/online-grocery/search-page-3
FRESH ATTITUDE,Spring Salad Mix,142 g,"2 / 
$5.00",,$1.76 /100g,"Regular price
$4.99  ea.","Valid until Jan 10, 2024",https://product-images.metro.ca/images/hfb/h8d/11883403247646.jpg,https://www.metro.ca/en/online-grocery/search-page-3
ATTITUDE,Baby Spinach,142 g,"2 / 
$5.00",,$1.76 /100g,"Regular price
$4.99  ea.","Valid until Jan 10, 2024",https://product-images.metro.ca/images/h6f/h0b/11883380310046.jpg,https://www.metro.ca/en/online-grocery/search-page-3
,Avocados,2 kg,"$9.99
 ea.",,$0.50 /100g,,,https://product-images.metro.ca/images/hab/h0d/10387606601758.jpg,https://www.metro.ca/en/online-grocery/search-page-3
GENERAL MILLS,"Triple Berry Flavoured Oat Cereal Value Pack, Oatmea...",570 g,"$9.99
 ea.",,$1.75 /100g,,,,https://www.metro.ca/en/online-grocery/search-page-3
NABOB,"Colombian Coffee T Discs, Tassimo",14 un,"$10.49
 ea.",,$0.75 /un.,,,,https://www.metro.ca/en/online-grocery/search-page-3
CAFÉ WILLIAM,Americano Dark Roast Ground Coffee,340 g,"$10.99
 ea.",,$3.23 /100g,"Regular price
$12.49  ea.","Valid until Feb 7, 2024",https://product-images.metro.ca/images/hdb/he3/11259056128030.jpg,https://www.metro.ca/en/online-grocery/search-page-3
,Hothouse Red Tomato,,"$2.20
 avg. ea.",(200 g avg.),$11.00 /kg$4.99 /lb.,,,https://product-images.metro.ca/images/h62/h5f/9660685058078.jpg,https://www.metro.ca/en/online-grocery/search-page-3
SELECTION,Large White Eggs,12 un,"$3.99
 ea.",,$0.33 /un.,,,https://product-images.metro.ca/images/h92/h5c/11168816922654.jpg,https://www.metro.ca/en/online-grocery/search-page-3
CHIPS AHOY!,Original Chocolate Chip Cookies,258 g,"$3.79
 ea.",,$1.47 /100g,"Regular price
$4.79  ea.","Valid until Jan 24, 2024",https://product-images.metro.ca/images/h97/h16/10904187600926.jpg,https://www.metro.ca/en/online-grocery/search-page-3
MAXWELL HOUSE,Original Roast Ground Coffee,925 g,"$11.99
 ea.",,$1.30 /100g,,,https://product-images.metro.ca/images/h8f/h69/9986898329630.jpg,https://www.metro.ca/en/online-grocery/search-page-3
OREO,"Chocolate Sandwich Cookies, The Original",270 g,"$3.79
 ea.",,$1.40 /100g,"Regular price
$4.79  ea.","Valid until Jan 24, 2024",,https://www.metro.ca/en/online-grocery/search-page-3
DOLE,Organic Banana,,"$0.62
 avg. ea.",(190 g avg.),$3.28 /kg$1.49 /lb.,,,https://product-images.metro.ca/images/h28/hf8/8874221273118.jpg,https://www.metro.ca/en/online-grocery/search-page-3
,Lean Ground Beef,A tray contains on average 450 g,"$5.45
 / 450 g",,$12.10 /kg$5.49 /lb.,"Regular price
$18.06  / kg","Valid until Jan 10, 2024",https://product-images.metro.ca/images/h6b/h62/11521189445662.jpg,https://www.metro.ca/en/online-grocery/search-page-3
SELECTION,Large White Eggs,18 un,"$5.89
 ea.",,$0.33 /un.,,,https://product-images.metro.ca/images/h91/h18/11157658206238.jpg,https://www.metro.ca/en/online-grocery/search-page-4
,Local Mini Cucumbers,397 g,"$3.49
 ea.",,$3.49 /un.,"Regular price
$4.99  ea.","Valid until Jan 10, 2024",https://product-images.metro.ca/images/he9/h84/11204993810462.jpg,https://www.metro.ca/en/online-grocery/search-page-4
,Sweet Potato,,"$1.12
 avg. ea.",(300 g avg.),$3.73 /kg$1.69 /lb.,"Regular price
$4.39  avg. kg","Valid until Jan 10, 2024",https://product-images.metro.ca/images/hde/hcf/8874212360222.jpg,https://www.metro.ca/en/online-grocery/search-page-4
,Iceberg Lettuce,Sold individually,"$2.99
 ea.",,$2.99 /un.,"Regular price
$3.99  ea.","Valid until Jan 10, 2024",https://product-images.metro.ca/images/h72/had/8907059920926.jpg,https://www.metro.ca/en/online-grocery/search-page-4
COLGATE,"Whitening Gel Toothpaste, Total",120 ml,"$3.99
 ea.",,$3.32 /100ml,"Regular price
$4.99  ea.","Valid until Feb 7, 2024",,https://www.metro.ca/en/online-grocery/search-page-4
BOLTHOUSE FARMS,Baby-Cut Carrots,340 g,"$1.99
 ea.",,$0.59 /100g,"Regular price
$2.49  ea.","Valid until Jan 10, 2024",https://product-images.metro.ca/images/h0b/h2b/11477864022046.jpg,https://www.metro.ca/en/online-grocery/search-page-4
,Lime,Sold individually,"$0.99
 ea.",,$0.99 /un.,,,https://product-images.metro.ca/images/he4/he9/8837075206174.jpg,https://www.metro.ca/en/online-grocery/search-page-4
,Extra Lean Ground Beef,A tray contains on average 450 g,"$9.02
 / 450 g",,$20.04 /kg$9.09 /lb.,,,https://product-images.metro.ca/images/hcc/hb2/11868096069662.jpg,https://www.metro.ca/en/online-grocery/search-page-4
,Italian Tomato,,"$1.10
 avg. ea.",(100 g avg.),$11.00 /kg$4.99 /lb.,,,https://product-images.metro.ca/images/h0c/h32/9363112722462.jpg,https://www.metro.ca/en/online-grocery/search-page-4
MICHELOB ULTRA,Light Lager Beer,473 mL - can,"$3.99
 ea.",,$0.84 /100ml,,,https://product-images.metro.ca/images/h99/h3e/10768788062238.jpg,https://www.metro.ca/en/online-grocery/search-page-4
,Broccoli,Sold individually,"$3.99
 ea.",,$3.99 /un.,"Regular price
$4.99  ea.","Valid until Jan 10, 2024",https://product-images.metro.ca/images/h57/h8f/8837121736734.jpg,https://www.metro.ca/en/online-grocery/search-page-4
,Green Onions,1 bunch,"$1.99
 ea.",,$1.99 /un.,,,https://product-images.metro.ca/images/hc2/hbd/8837317820446.jpg,https://www.metro.ca/en/online-grocery/search-page-4
,Local Red Cluster Tomatoes,Approximately 5 tomatoes per cluster,"$5.96
 avg. ea.",(775 g avg.),$7.69 /kg$3.49 /lb.,"Regular price
$8.80  avg. kg","Valid until Jan 10, 2024",https://product-images.metro.ca/images/ha2/he3/9662946902046.jpg,https://www.metro.ca/en/online-grocery/search-page-4
,Yellow Onions,2 lb,"$1.99
 ea.",,$0.22 /100g,"Regular price
$2.99  ea.","Valid until Jan 10, 2024",https://product-images.metro.ca/images/h25/h86/8858905903134.jpg,https://www.metro.ca/en/online-grocery/search-page-4
KRAFT DINNER,White Cheddar Macaroni And Cheese,175 g,"$2.69
 ea.",,$1.54 /100g,,,https://product-images.metro.ca/images/hc6/hef/12245680521246.jpg,https://www.metro.ca/en/online-grocery/search-page-4
,White Potato,,"$1.30
 avg. ea.",(295 g avg.),$4.39 /kg$1.99 /lb.,,,https://product-images.metro.ca/images/ha6/h86/8889381781534.jpg,https://www.metro.ca/en/online-grocery/search-page-4
,Rutabaga,,"$4.08
 avg. ea.",(930 g avg.),$4.39 /kg$1.99 /lb.,,,https://product-images.metro.ca/images/he1/h7e/8872801468446.jpg,https://www.metro.ca/en/online-grocery/search-page-4
,"Extra Lean Ground Beef, Value Pack",A tray contains on average 900 g,"$16.85
 / 900 g",,$18.72 /kg$8.49 /lb.,,,https://product-images.metro.ca/images/h8e/hbd/12048176349214.jpg,https://www.metro.ca/en/online-grocery/search-page-4
,Medium Ground Beef,A tray contains on average 450 g,"$6.93
 / 450 g",,$15.41 /kg$6.99 /lb.,,,https://product-images.metro.ca/images/h0c/ha1/12048167534622.jpg,https://www.metro.ca/en/online-grocery/search-page-4
,Green Beans,,"$1.32
 / 100 g",,$13.21 /kg$5.99 /lb.,,,https://product-images.metro.ca/images/h63/hb3/8836970807326.jpg,https://www.metro.ca/en/online-grocery/search-page-4
,"Fresh Canadian Atlantic Salmon Fillet, Value Pack",Around 1 fillet per tray,"$19.28
 avg. ea.",(500 g avg.),$38.56 /kg$17.49 /lb.,,,https://product-images.metro.ca/images/hbe/h43/11869270474782.jpg,https://www.metro.ca/en/online-grocery/search-page-4
,Celery,Sold individually,"$3.99
 ea.",,$3.99 /un.,,,https://product-images.metro.ca/images/h3d/h9f/8910053638174.jpg,https://www.metro.ca/en/online-grocery/search-page-4
,"Apple, McIntosh",,"$1.05
 avg. ea.",(170 g avg.),$6.15 /kg$2.79 /lb.,,,,https://www.metro.ca/en/online-grocery/search-page-4
REDPATH,Special Fine Granulated Sugar,2 kg,"$3.29
 ea.",,$0.16 /100g,"Regular price
$3.99  ea.","Valid until Feb 7, 2024",https://product-images.metro.ca/images/hb6/h71/10715270873118.jpg,https://www.metro.ca/en/online-grocery/search-page-4
,Hothouse Orange Pepper,,"$3.96
 avg. ea.",(300 g avg.),$13.21 /kg$5.99 /lb.,,,https://product-images.metro.ca/images/h88/h6d/8835115188254.jpg,https://www.metro.ca/en/online-grocery/search-page-4
,Red Onion,,"$1.65
 avg. ea.",(300 g avg.),$5.49 /kg$2.49 /lb.,,,https://product-images.metro.ca/images/hcd/hfa/8833147404318.jpg,https://www.metro.ca/en/online-grocery/search-page-4
